Team,Ranking,Points
Colorado Avalanche,1,121
Florida Panthers,2,117
Tampa Bay Lightning,3,117
Toronto Maple Leafs,4,112
Carolina Hurricanes,5,112
Minnesota Wild,6,107
Calgary Flames,7,106
Pittsburgh Penguins,8,106
Boston Bruins,9,105
New York Rangers,10,105
St. Louis Blues,11,105
Washington Capitals,12,99
Nashville Predators,13,99
Vegas Golden Knights,14,99
Edmonton Oilers,15,96
Los Angeles Kings,16,96
Dallas Stars,17,95
Anaheim Ducks,18,88
Vancouver Canucks,19,87
Winnipeg Jets,20,86
New York Islanders,21,84
San Jose Sharks,22,82
Columbus Blue Jackets,23,80
Detroit Red Wings,24,79
Ottawa Senators,25,79
Chicago Blackhawks,26,76
Philadelphia Flyers,27,72
New Jersey Devils,28,72
Seattle Kraken,29,65
Buffalo Sabres,30,60
Montreal Canadiens,31,57
Arizona Coyotes,32,55